date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated,street,city,statezip
23,195000,3,1,1570,8459,1,0,0,3,1570,0,1991,0,347,12,12
49,291000,3,1,1860,60960,1,0,0,4,1140,720,1967,0,2080,9,26
13,400000,3,1,1630,10304,1,0,0,5,1630,0,1953,0,1295,36,67
13,451555,2,1,1320,4520,1,0,1,3,1320,0,1912,1971,3042,35,55
46,142500,4,0,1440,13300,1,0,0,3,1440,0,1948,1994,1701,6,68
49,725000,6,1,2380,4080,2,0,0,3,2380,0,1917,2009,3219,35,48
17,215000,2,2,1610,2040,2,0,0,4,1610,0,1979,0,2419,32,34
59,535000,3,1,1580,6300,1,0,0,3,1180,400,1925,2002,1714,35,74
55,669000,2,1,1950,10766,1,0,3,4,1160,790,1952,0,2805,6,68
61,250000,3,2,1920,7738,1,0,0,3,1520,400,1965,1993,2083,6,66
12,925000,4,2,2190,7350,2,0,0,5,2190,0,1958,0,2761,23,25
34,955000,4,4,5660,193593,2,0,0,3,4100,1560,2001,0,439,11,11
8,549900,5,2,3060,7015,1,0,0,5,1600,1460,1979,0,191,35,65
45,763101,3,1,1990,5560,1,0,0,4,1100,890,1939,1989,3285,35,48
32,475000,3,2,2600,7210,2,0,0,3,2600,0,1989,0,3342,32,37
35,809950,4,2,2230,9900,1,0,0,5,2230,0,1959,0,527,3,4
66,665000,5,2,2800,17788,1,0,0,4,1400,1400,1963,0,3852,19,21
67,308950,4,2,1920,8562,2,0,2,4,1920,0,1994,0,1644,12,12
16,534640,3,2,2130,3500,1,0,0,4,1210,920,1994,0,697,42,41
60,725000,3,1,1860,6000,2,0,2,4,1860,0,1959,0,2763,35,64
59,170000,2,1,1200,24792,2,0,0,2,1200,0,1976,0,2482,31,32
13,295000,3,1,850,2500,1,0,0,3,850,0,1986,0,2983,35,49
25,427000,2,1,920,3780,1,0,0,3,920,0,1910,2006,3985,35,47
56,397000,5,1,1170,6757,1,0,0,4,800,370,1944,0,856,35,60
54,519000,4,2,1950,2617,1,0,0,4,1250,700,1910,0,273,35,50
4,1050000,3,2,2200,1970,2,0,0,3,1610,590,2008,0,2122,35,46
4,329350,2,1,720,6687,1,0,0,3,720,0,1942,1999,4296,35,56
61,519000,5,2,2570,13054,1,0,1,3,1470,1100,1950,1992,641,26,68
21,550000,3,2,1830,9152,1,0,0,5,1830,0,1959,0,372,3,5
39,251750,3,2,1320,7200,1,0,0,5,1320,0,1975,0,533,18,19
0,625000,4,2,2820,8408,2,0,0,3,2820,0,2014,0,1254,36,67
68,550000,4,1,2150,9000,1,0,0,4,1110,1040,1966,0,1238,31,31
18,480000,4,2,2050,3960,1,0,0,4,1180,870,1986,0,2210,35,55
42,325000,3,2,2070,8337,2,0,0,3,2070,0,1997,0,2225,18,18
19,218000,3,1,1020,7874,1,0,0,3,1020,0,1956,2001,4272,35,49
45,284000,3,2,1880,6008,2,0,0,3,1880,0,2009,0,2448,18,26
40,465000,4,2,2090,9702,1,0,0,5,1320,770,1965,0,1117,36,62
4,284000,4,2,2000,5390,2,0,0,3,2000,0,2003,0,2148,18,26
60,540000,3,1,2050,9580,1,0,0,3,1400,650,1984,0,1854,33,42
66,888550,3,2,3540,38322,2,0,0,3,3540,0,1989,0,1797,31,32
10,1200000,3,1,1560,8078,1,1,4,4,1560,0,1928,0,2819,23,25
35,415000,3,1,1910,12596,1,0,0,3,1340,570,1977,2004,1026,42,41
18,300000,3,1,1090,9900,1,0,0,4,1090,0,1955,2009,694,31,31
42,230000,2,1,930,7550,1,0,0,3,930,0,1986,0,608,34,69
52,950100,4,2,3160,13194,2,0,0,5,3160,0,1965,0,3573,23,25
17,193000,3,1,2200,5000,1,0,0,3,2200,0,1932,0,1958,35,74
42,300000,4,2,2700,10814,1,0,0,4,1560,1140,1966,0,470,18,18
7,315000,5,1,2320,8100,1,0,0,4,1160,1160,1956,0,3141,6,68
66,320000,3,1,1120,10576,1,0,0,4,1120,0,1969,0,1344,42,44
50,930000,3,2,3290,6830,2,0,0,3,3290,0,2000,0,926,31,31
51,500000,4,2,2040,8400,1,0,0,3,1420,620,1963,2008,3512,3,5
67,315000,2,1,1080,2674,1,0,0,4,720,360,1919,1985,3292,35,51
33,989000,5,3,3280,4000,2,0,0,3,2440,840,2003,0,4046,35,56
26,840500,3,2,2520,5400,1,0,0,4,1410,1110,1906,1990,1515,35,58
53,660000,2,2,2550,6000,2,0,0,5,1860,690,1902,0,3556,35,54
26,700000,2,1,2320,5500,1,0,2,3,1720,600,1925,2000,1495,35,64
46,560000,5,1,1710,9100,1,0,0,4,1320,390,1926,1993,3784,35,61
18,345000,3,1,1240,11200,1,0,0,4,1240,0,1954,1979,980,3,5
32,250000,3,2,1765,7652,2,0,0,3,1765,0,1996,0,2683,14,2
17,810000,4,2,3480,59242,2,0,0,3,3480,0,1988,2000,1354,42,41
34,189000,3,1,1010,7560,1,0,0,3,1010,0,1958,2004,1244,32,36
39,307000,4,1,1150,8184,1,0,0,3,1150,0,1947,2012,1034,36,67
69,360000,4,2,2380,5000,2,0,0,3,2380,0,2005,0,1877,21,23
55,460000,4,2,2550,19017,1,0,0,4,1300,1250,1961,2001,1537,20,67
54,563500,3,2,1400,1312,3,0,0,3,1400,0,2007,0,2841,35,47
47,279950,5,1,2150,7171,1,0,0,4,1460,690,1970,0,1905,18,19
62,198000,4,1,2080,7200,1,0,0,4,1050,1030,1966,0,3024,1,0
18,395000,3,1,1080,2940,1,0,0,4,1080,0,1920,0,3854,35,54
56,483453,4,2,2790,5527,2,0,0,3,2790,0,2014,0,4159,27,27
52,800000,3,2,2380,11824,1,0,0,4,1450,930,1972,0,3789,23,25
53,819000,3,3,2130,6150,2,0,2,5,1530,600,1908,0,2617,35,74
28,740000,5,3,3990,18897,2,0,0,3,3090,900,1937,2010,1277,35,60
67,336000,3,2,2760,10160,1,0,0,3,2760,0,1969,2010,818,32,36
52,269950,4,2,2540,8400,2,0,0,5,2540,0,1977,0,2125,18,20
53,689000,3,1,2200,9840,1,0,0,5,1500,700,1978,0,993,3,5
67,439000,4,2,2570,9503,2,0,0,3,2570,0,1980,0,1463,5,9
49,477000,3,1,1780,8085,1,0,0,3,1210,570,1976,0,920,5,9
54,390000,4,2,2340,8548,2,0,0,3,2340,0,1993,0,375,18,19
28,750000,3,1,1700,8400,1,0,0,3,1460,240,1947,2012,2833,35,74
67,599000,3,2,2560,14680,1,0,0,3,1330,1230,1987,2000,1186,31,31
59,963000,4,3,3530,8589,2,0,0,3,3530,0,2007,0,185,19,21
54,594000,3,2,1270,1406,2,0,0,3,1060,210,2014,0,3271,35,48
3,309950,4,2,2310,5000,2,0,0,3,2310,0,2006,0,1880,21,23
18,250000,4,2,1960,7560,1,0,0,5,1160,800,1978,0,451,18,19
5,526000,2,2,1550,2400,1,0,0,4,1550,0,1900,1971,2928,35,47
0,260000,4,2,1480,8625,1,0,0,4,1480,0,1974,0,1627,32,33
61,253000,2,1,1310,7128,1,0,0,4,940,370,1980,0,302,18,19
25,405000,3,1,1980,8100,1,0,0,4,1310,670,1949,1985,1914,36,62
20,482000,5,2,2230,9600,1,0,0,3,1320,910,1978,0,1131,42,44
33,390000,3,1,1240,11108,1,0,0,4,1240,0,1952,0,700,26,68
41,789500,4,2,3010,6100,2,0,0,3,3010,0,2005,0,3634,31,31
48,323833,4,1,1940,5753,1,0,0,3,1940,0,1947,2012,468,35,70
3,549000,4,2,2910,6338,2,0,0,3,2910,0,2008,0,1099,32,37
52,215000,3,2,1340,8505,1,0,0,3,1340,0,1931,0,2308,34,69
49,665900,4,2,2870,5453,2,0,1,4,2220,650,1926,1993,21,35,65
33,465000,3,1,910,4500,1,0,0,3,910,0,1948,1994,2424,35,56
48,210000,3,2,1440,7210,1,0,0,3,1440,0,1983,2009,367,1,45
66,229500,3,1,1230,6000,1,0,0,4,1230,0,1967,0,1107,1,1
39,360000,4,2,1630,10375,1,0,0,5,1630,0,1968,0,1332,42,44
31,653000,3,2,2290,3475,2,0,0,3,2290,0,2006,0,1792,16,17
3,780000,4,2,2730,10281,2,0,2,3,2730,0,1996,0,1913,33,42
65,454790,2,1,1990,4000,1,0,0,5,1090,900,1952,1998,4026,35,47
14,645000,4,2,3160,11380,2,0,0,3,3160,0,1983,2009,2107,33,42
39,470000,3,1,2290,14800,1,0,0,3,1620,670,1965,1993,3415,20,67
47,461000,3,3,2770,6278,2,0,0,3,1980,790,2006,0,2741,32,34
21,416000,3,1,1110,9762,1,0,0,4,1110,0,1963,0,828,31,31
12,349950,5,3,2257,10117,1,0,0,3,1363,894,2005,0,2891,34,72
32,835000,4,2,1550,4000,1,0,0,3,1550,0,1930,1997,3123,35,48
17,530000,3,3,2320,3174,2,0,0,3,2060,260,1997,0,504,19,21
53,762500,4,2,2610,8760,1,0,0,4,1760,850,1978,2000,4020,23,25
33,865000,3,1,2090,4725,2,0,0,3,1610,480,1947,2013,2380,35,74
19,266066,4,1,1310,5200,1,0,0,3,1160,150,1945,2010,3758,35,61
3,755000,4,2,2120,10202,1,0,0,4,1620,500,1960,2001,558,3,4
46,605000,3,2,2010,10760,2,0,0,3,2010,0,1985,0,802,31,31
69,279000,2,1,670,6300,1,0,0,5,670,0,1942,0,4298,35,61
14,565000,3,2,1520,1221,3,0,0,3,1520,0,2013,1923,976,35,50
49,248400,3,1,1880,11249,1,0,0,3,1330,550,1985,0,2040,1,0
19,350000,3,1,980,7790,1,0,0,5,980,0,1969,0,4307,19,22
28,326983,3,2,1490,4522,2,0,0,3,1490,0,2009,0,3952,17,16
13,914500,4,2,3950,10856,3,0,0,3,3950,0,2013,1923,2169,33,43
68,534333,3,2,1460,7573,2,0,0,3,1460,0,1983,2009,927,3,6
41,248000,4,2,1770,5855,2,0,0,3,1770,0,2003,0,1782,21,23
8,265000,4,1,1940,9533,1,0,0,3,1080,860,1962,2003,4326,18,19
4,520000,3,2,2460,54885,2,0,0,4,2460,0,1980,0,3443,32,37
32,718000,3,1,1030,4958,1,0,0,5,1030,0,1952,1998,3272,35,48
55,1025000,4,3,3320,19850,1,0,2,4,2040,1280,1977,0,4073,23,25
45,429000,5,2,2340,4500,2,0,0,3,2340,0,2009,0,3406,32,37
27,472000,6,2,4410,14034,1,0,2,4,2350,2060,1965,0,3984,14,2
52,685000,2,1,1300,1676,1,0,2,3,1300,0,1943,2002,785,35,59
35,723243,4,2,3010,7215,2,0,0,3,3010,0,2014,0,147,19,21
0,750000,3,2,2390,6550,1,0,2,4,1440,950,1955,2009,2837,35,55
33,525000,3,2,1540,7800,1,0,0,3,1540,0,2004,2003,97,35,60
42,590000,4,2,2010,7972,2,0,0,4,2010,0,1989,0,2740,16,17
67,480000,2,1,1060,3040,1,0,0,3,860,200,1924,2011,1946,35,47
48,340000,3,2,2480,6112,2,0,0,3,2480,0,2004,2003,1405,32,36
32,495000,4,2,2220,8872,1,0,0,4,1110,1110,1961,2001,3522,3,5
54,583000,3,2,1790,8144,2,0,0,3,1790,0,1989,0,4187,33,42
59,410000,1,1,1010,5750,1,0,0,3,1010,0,1911,1948,3230,35,63
42,440000,4,2,2010,7575,1,0,0,3,1220,790,1974,0,873,19,22
40,415000,4,2,2550,4500,2,0,0,3,2550,0,2009,0,3497,32,37
50,1100000,3,2,2200,20000,1,0,1,3,1400,800,1952,2008,2644,3,3
17,285000,4,1,2080,13629,1,0,0,4,1040,1040,1955,2009,3967,35,71
39,392000,4,2,1940,6555,2,0,0,3,1940,0,1990,2009,2175,21,23
13,300000,3,1,1220,13000,1,0,0,4,1220,0,1955,2009,1406,36,62
0,315000,3,1,1160,9180,1,0,0,3,1160,0,1968,1997,1063,42,44
33,586500,3,2,1780,1487,3,0,0,3,1600,180,2006,0,2925,35,47
4,762300,4,2,3880,14550,2,0,0,3,3880,0,1987,2000,1837,33,42
67,357562,2,1,1210,1032,2,0,0,3,1210,0,2014,0,2124,16,17
41,795000,3,2,2420,17859,1,0,1,5,1500,920,1979,0,3780,19,22
18,423000,4,1,1940,6909,1,0,0,4,970,970,1941,1998,257,35,62
57,314500,3,1,1700,17355,1,0,0,3,1200,500,1978,0,2249,21,23
60,435000,3,2,2530,13446,2,0,0,3,2530,0,1993,0,2376,11,11
28,459900,3,1,2580,11000,1,0,0,4,1290,1290,1951,1999,3198,3,5
32,402500,3,3,2780,4002,2,0,0,3,2780,0,2009,0,915,11,11
66,500000,3,2,1720,3012,2,0,0,3,1720,0,2011,0,777,35,62
54,450000,4,2,2310,5650,1,0,2,3,1330,980,1952,2012,4321,35,57
42,890000,4,2,2770,13500,2,0,0,3,2770,0,1974,0,3677,23,25
17,518000,3,2,1680,2096,2,0,0,3,1380,300,2008,0,4061,35,56
55,1080000,4,3,3990,5267,2,0,0,3,3990,0,2008,0,1120,3,5
5,310000,3,1,1840,10723,1,0,0,4,1220,620,1974,0,1547,32,36
27,246500,3,1,1270,11600,1,0,0,4,1270,0,1964,0,183,18,19
55,435000,4,2,2110,8751,1,0,0,3,1510,600,1962,2003,1432,5,9
53,252000,3,2,1670,7881,1,0,0,4,1190,480,1977,0,419,18,19
52,337000,3,1,1310,12750,1,0,0,3,1310,0,1993,0,924,32,37
60,825000,4,2,3990,6637,2,0,0,3,3990,0,2003,0,4254,31,32
47,850000,5,3,3450,28324,1,0,0,5,2350,1100,1972,0,214,19,21
49,725000,4,3,3940,27591,2,0,3,3,3440,500,2000,0,1283,32,37
7,839900,4,3,3810,13592,1,0,1,3,2560,1250,2013,1923,2007,32,34
32,1070000,4,3,4130,12320,2,0,0,3,4130,0,2001,0,817,25,37
39,566000,4,1,2440,5000,1,0,0,3,1340,1100,1954,2005,3810,35,56
5,415000,4,3,1830,9548,2,0,0,3,1830,0,1991,0,987,5,16
55,760000,3,2,1980,13964,1,0,0,5,1980,0,1959,0,3063,23,25
42,305000,3,1,1210,5240,1,0,0,4,610,600,1983,0,3449,35,49
52,562500,3,2,1300,907,2,0,0,3,1000,300,2006,0,1608,35,46
11,287600,3,2,1950,8251,2,0,0,3,1950,0,1990,2009,3077,1,0
27,445000,4,1,1990,4725,1,0,0,4,1190,800,1944,0,2872,35,61
4,483500,4,2,2740,45732,2,0,0,3,2740,0,1995,0,1020,42,44
3,117833,3,1,1340,306848,1,0,0,3,1340,0,1953,0,1356,11,11
20,592500,4,3,2170,8240,1,0,0,4,1370,800,1968,0,1437,31,31
19,288400,3,2,1870,3230,2,0,0,3,1870,0,1997,0,2934,32,34
40,262500,3,1,1160,8906,1,0,0,3,1160,0,1962,2003,3809,35,57
53,139000,2,1,690,5280,1,0,0,4,690,0,1942,1982,3873,32,34
60,875000,5,3,3840,8279,2,0,0,3,3840,0,2001,0,1709,33,42
41,445000,3,1,1050,5664,1,0,0,4,910,140,1947,1988,4035,35,54
46,382500,4,2,2210,7079,2,0,0,3,2210,0,1993,0,375,18,19
52,291500,3,1,880,9238,1,0,0,5,880,0,1946,0,1180,36,67
48,429900,4,2,2640,8625,2,0,0,3,2640,0,1987,2000,764,32,36
38,750000,4,3,2050,5000,2,0,0,4,1370,680,1987,0,3096,35,53
66,245000,2,1,1500,6685,1,0,0,3,1190,310,1926,2003,460,35,62
14,725000,5,2,2830,5310,2,0,0,3,2830,0,2006,0,390,31,31
12,450000,3,2,2910,17172,2,0,0,3,2910,0,1989,0,2818,14,2
26,395000,3,2,2250,3757,2,0,0,3,2250,0,2006,0,3691,32,37
19,195000,3,1,1380,7350,1,0,0,3,990,390,1981,2013,1448,9,26
19,318989,4,2,2000,9000,1,0,0,4,2000,0,1978,2000,3083,14,13
56,1020000,3,2,1670,4800,1,0,3,3,1670,0,1903,2005,3761,35,58
60,314500,3,2,2050,13303,1,0,0,3,2050,0,1993,0,2871,14,2
4,488000,5,2,2020,5000,1,0,0,4,2020,0,1938,0,4172,35,56
47,764000,4,2,2790,7938,2,0,0,3,2790,0,1997,0,1935,33,42
3,800866,5,2,3180,13806,2,0,0,4,3180,0,1990,0,374,19,21
67,320000,3,3,1450,1387,2,0,0,3,1180,270,2013,1923,3354,35,49
5,794154,4,2,2210,8556,1,0,1,4,1210,1000,1954,1979,2636,35,74
31,665000,4,2,2720,10000,2,0,0,3,2720,0,1987,2000,1718,33,42
67,438000,2,2,1270,1372,3,0,0,3,1270,0,2000,0,4077,35,54
4,450000,5,3,3480,36615,2,0,0,4,2490,990,1983,0,1796,16,43
54,309620,3,2,1860,3730,2,0,0,3,1860,0,2012,1912,0,11,11
11,1105000,4,1,2740,4000,2,0,0,5,1930,810,1905,0,1258,35,52
7,491300,3,1,1750,11340,1,0,1,4,1300,450,1987,0,2964,33,42
68,749000,3,2,2820,5348,2,0,0,3,2820,0,2008,0,424,31,31
28,790000,4,2,2310,5100,2,0,0,3,2310,0,2013,1923,860,35,70
46,332000,3,2,1530,9406,1,0,0,3,1270,260,1993,0,3071,32,37
45,415000,4,2,1800,2970,1,0,0,4,1000,800,1923,0,3853,35,54
48,330000,3,2,2238,7209,2,0,0,3,2238,0,2011,0,660,14,13
32,640000,3,2,2370,11172,2,0,0,3,2370,0,1993,0,404,25,34
54,315000,4,2,1780,5336,1,0,0,5,930,850,1918,0,62,35,71
38,539950,3,2,2190,7149,1,0,1,4,1240,950,1963,0,2814,32,34
5,560000,3,3,4120,60392,2,0,2,3,3180,940,1994,0,2628,7,10
45,518000,4,2,1740,7500,1,0,0,4,1220,520,1976,1992,99,31,31
28,280000,2,1,1880,7560,1,0,0,3,940,940,1919,2001,4110,35,61
48,540500,5,3,3090,7415,2,0,0,3,3090,0,2014,0,3311,6,66
18,500000,3,2,1210,1200,3,0,0,3,1210,0,2008,0,2936,35,47
66,473200,3,1,1740,4200,1,0,0,4,1640,100,1920,0,3681,35,56
19,260000,6,2,2220,8797,1,0,0,3,2220,0,1977,2004,809,1,1
46,560000,3,2,2340,3477,1,0,1,5,1170,1170,1971,0,3384,35,57
10,900000,4,3,4700,38412,2,0,0,3,3420,1280,1978,0,2867,3,4
62,715000,3,4,2080,2250,3,0,4,3,2080,0,1997,0,3124,35,47
5,420000,2,1,1040,3500,1,0,0,4,1040,0,1904,0,1275,35,64
48,405000,2,1,1260,4377,1,0,0,4,1260,0,1947,1988,4279,35,47
59,669500,4,2,2500,4046,1,0,0,4,1520,980,1940,2001,3977,35,56
21,235000,4,2,1810,39639,1,0,0,3,1230,580,1970,2014,1313,18,26
18,598000,5,2,2890,12478,2,0,0,3,2890,0,1977,2004,1726,33,42
25,326100,2,1,880,7683,1,0,0,3,880,0,1942,1999,350,35,70
19,525000,3,1,1450,4000,1,0,1,4,950,500,1948,0,3375,35,57
39,440000,3,1,1290,1286,3,0,0,3,1290,0,2000,0,3187,35,47
28,299950,3,1,1210,9525,1,0,0,3,1210,0,1955,2005,4072,35,49
26,535000,3,2,1720,4006,2,0,0,3,1720,0,1994,0,3079,16,17
17,690000,3,2,1610,5100,1,0,0,5,1610,0,1940,0,3815,35,54
67,205000,3,1,1180,8240,1,0,0,4,1180,0,1967,0,2487,14,2
54,599990,3,2,2680,9162,1,0,0,3,1570,1110,1978,0,3075,16,15
68,210614,3,2,1610,7223,2,0,0,3,1610,0,1994,0,2227,18,18
47,975000,4,2,4270,43386,1,0,0,3,2680,1590,1991,0,1767,31,32
32,650000,5,2,2550,5040,1,0,0,5,2550,0,1902,0,806,35,59
34,466500,3,1,1430,3840,1,0,0,3,950,480,1945,2010,3875,35,56
41,300000,3,3,1470,1235,2,0,0,3,1180,290,2008,0,3419,35,51
11,575000,3,1,1580,11750,1,0,0,4,1180,400,1951,1999,3453,35,57
26,782000,4,3,3910,8095,2,0,0,3,3130,780,2007,0,3279,16,17
26,210000,2,1,880,1157,2,0,0,3,880,0,2007,0,4263,35,61
46,345000,3,2,1680,2229,2,0,0,3,1680,0,2007,0,3566,36,67
12,300000,3,1,1260,8280,1,0,0,3,1260,0,1946,0,2163,35,54
21,355000,3,2,1220,1186,3,0,0,3,1220,0,2007,0,4231,35,47
4,312000,4,2,1300,7054,1,0,0,3,1300,0,1950,2013,2371,35,65
39,516200,3,2,2110,5150,1,0,0,5,1080,1030,1919,1934,3297,35,57
13,300000,3,2,1510,7066,1,0,2,3,1230,280,1973,2013,133,35,60
53,839000,3,2,3200,203425,1,0,0,3,3200,0,2000,0,1426,42,44
10,788000,4,3,3680,5759,2,0,0,3,2840,840,2003,0,3502,16,15
54,200000,3,2,1190,6833,1,0,0,3,1190,0,1995,0,2572,1,45
60,1014250,3,1,1640,12855,1,0,0,5,1500,140,1920,0,3768,3,3
6,295000,3,2,1920,7229,2,0,0,3,1920,0,1993,0,1508,14,2
20,770000,4,2,2350,8001,2,0,0,4,2350,0,1987,0,776,3,5
54,975000,5,3,2620,5477,2,0,0,3,2620,0,2009,0,2853,35,54
68,561000,4,2,2570,5250,2,0,0,3,2570,0,1990,2009,2852,16,17
66,670000,5,2,2860,68519,2,0,0,5,2860,0,1958,0,2898,38,38
17,446000,5,2,2190,12687,1,0,0,5,1370,820,1978,0,1656,17,16
39,1025000,5,4,3760,28040,2,0,0,3,3760,0,1983,2009,3046,19,21
7,311100,4,2,2130,8078,1,0,0,4,1380,750,1977,0,2781,32,33
14,238000,3,2,1020,1204,2,0,0,3,720,300,2004,2003,2742,35,61
10,211000,3,1,1350,7620,1,0,0,5,1350,0,1941,0,1142,6,68
31,1000000,3,2,2730,5832,2,0,0,3,2730,0,1998,2006,695,3,4
54,440000,3,1,2030,17100,1,0,0,4,2030,0,1953,1983,2046,6,68
0,308500,2,1,850,6174,1,0,0,4,850,0,1950,1983,426,36,67
3,400000,2,1,840,5510,1,0,0,3,840,0,1955,2005,3193,35,63
14,522500,3,2,2370,7875,2,0,0,3,2370,0,2003,0,3638,38,38
52,442000,4,2,2520,7253,2,0,0,3,2520,0,1990,2009,3188,32,37
54,890000,4,1,2550,4000,2,0,0,3,2370,180,1905,2010,1396,35,52
68,229000,4,2,2010,7688,1,0,0,3,1170,840,1979,2014,2656,14,13
0,419000,3,1,1570,6700,1,0,0,4,1570,0,1956,0,1022,3,6
53,683500,3,1,1820,5756,1,0,0,3,1640,180,1946,0,3763,35,58
